date,price,other
Jan 2000,1394.46,394
Feb 2000,1366.42,366
Mar 2000,1498.58,498
Apr 2000,1452.43,452
May 2000,1420.6,420
Jun 2000,1454.6,454
Jul 2000,1430.83,430
Aug 2000,1517.68,517
Sep 2000,1436.51,436
Oct 2000,1429.4,429
Nov 2000,1314.95,314
Dec 2000,1320.28,320
Jan 2001,1366.01,366
Feb 2001,1239.94,239
Mar 2001,1160.33,160
Apr 2001,1249.46,249
May 2001,1255.82,255
Jun 2001,1224.38,224
Jul 2001,1211.23,211
Aug 2001,1133.58,133
Sep 2001,1040.94,040
Oct 2001,1059.78,059
Nov 2001,1139.45,139
Dec 2001,1148.08,148
Jan 2002,1130.2,130
Feb 2002,1106.73,106
Mar 2002,1147.39,147
Apr 2002,1076.92,076
May 2002,1067.14,067
Jun 2002,989.82,989
Jul 2002,911.62,911
Aug 2002,916.07,916
Sep 2002,815.28,815
Oct 2002,885.76,885
Nov 2002,936.31,936
Dec 2002,879.82,879
Jan 2003,855.7,855
Feb 2003,841.15,841
Mar 2003,848.18,848
Apr 2003,916.92,916
May 2003,963.59,963
Jun 2003,974.5,974
Jul 2003,990.31,990
Aug 2003,1008.01,1008
Sep 2003,995.97,995
Oct 2003,1050.71,1050
Nov 2003,1058.2,1058
Dec 2003,1111.92,1111
Jan 2004,1131.13,1131
Feb 2004,1144.94,1144
Mar 2004,1126.21,1126
Apr 2004,1107.3,1107
May 2004,1120.68,1120
Jun 2004,1140.84,1140
Jul 2004,1101.72,1101
Aug 2004,1104.24,1104
Sep 2004,1114.58,1114
Oct 2004,1130.2,1130
Nov 2004,1173.82,1173
Dec 2004,1211.92,1211
Jan 2005,1181.27,1181
Feb 2005,1203.6,1203
Mar 2005,1180.59,1180
Apr 2005,1156.85,1156
May 2005,1191.5,1191
Jun 2005,1191.33,1191
Jul 2005,1234.18,1234
Aug 2005,1220.33,1220
Sep 2005,1228.81,1228
Oct 2005,1207.01,1207
Nov 2005,1249.48,1249
Dec 2005,1248.29,1248
Jan 2006,1280.08,1280
Feb 2006,1280.66,1280
Mar 2006,1294.87,1294
Apr 2006,1310.61,1310
May 2006,1270.09,1270
Jun 2006,1270.2,1270
Jul 2006,1276.66,1276
Aug 2006,1303.82,1303
Sep 2006,1335.85,1335
Oct 2006,1377.94,1377
Nov 2006,1400.63,1400
Dec 2006,1418.3,1418
Jan 2007,1438.24,1438
Feb 2007,1406.82,1406
Mar 2007,1420.86,1420
Apr 2007,1482.37,1482
May 2007,1530.62,1530
Jun 2007,1503.35,1503
Jul 2007,1455.27,1455
Aug 2007,1473.99,1473
Sep 2007,1526.75,1526
Oct 2007,1549.38,1549
Nov 2007,1481.14,1481
Dec 2007,1468.36,1468
Jan 2008,1378.55,1378
Feb 2008,1330.63,1330
Mar 2008,1322.7,1322
Apr 2008,1385.59,1385
May 2008,1400.38,1400
Jun 2008,1280,1280
Jul 2008,1267.38,1267
Aug 2008,1282.83,1282
Sep 2008,1166.36,1166
Oct 2008,968.75,968
Nov 2008,896.24,896
Dec 2008,903.25,903
Jan 2009,825.88,825
Feb 2009,735.09,735
Mar 2009,797.87,797
Apr 2009,872.81,872
May 2009,919.14,919
Jun 2009,919.32,919
Jul 2009,987.48,987
Aug 2009,1020.62,102
Sep 2009,1057.08,105
Oct 2009,1036.19,103
Nov 2009,1095.63,109
Dec 2009,1115.1,111
Jan 2010,1073.87,107
Feb 2010,1104.49,110
Mar 2010,1140.45,114
